Metric,Prophet,XGBoost
mae,1530.120897997467,0.19390276074409485
rmse,1786.4830823806167,0.2811661701307301
mape,48.27730556504157,10160557.13591644
r2,-17.990151726059484,0.9986926913261414
mse,3191521.8036321495,0.07905441522598267
directional_accuracy,51.91256830601093,94.84967734715953
bias,1503.2120809372166,0.0056714017673694245
variance_explained,-4.544832011161535,0.998693224534181
mean_true,3243.5345454545454,16.635526917015582
mean_pred,4746.746626391762,16.64120101928711
std_true,409.9535868266872,7.776321536686768
std_pred,991.0367830893551,7.778368949890137
